User_ID,Recommended_Categories
1000001,"[3, 8, 1]"
1000002,"[1, 8, 6]"
1000003,"[1, 5, 2]"
1000004,"[1, 20]"
1000005,"[8, 1, 5]"
1000006,"[1, 5, 3]"
1000007,"[1, 11, 5]"
1000008,"[1, 8, 6]"
1000009,"[8, 1, 6]"
1000010,"[1, 5, 8]"
1000011,"[5, 8, 1]"
1000012,"[1, 5, 6]"
1000013,"[1, 2, 6]"
1000014,"[1, 8, 6]"
1000015,"[1, 8, 5]"
1000016,"[5, 1, 2]"
1000017,"[1, 15, 8]"
1000018,"[1, 3, 2]"
1000019,"[1, 3, 5]"
1000020,"[1, 15, 5]"
1000021,"[1, 3, 2]"
1000022,"[1, 5, 2]"
1000023,"[1, 5, 6]"
1000024,"[1, 5, 8]"
1000025,"[1, 5, 8]"
1000026,"[1, 5, 8]"
1000027,"[5, 10, 8]"
1000028,"[1, 8, 5]"
1000029,"[1, 15, 10]"
1000030,"[8, 6, 5]"
1000031,"[5, 1, 3]"
1000032,"[8, 6, 16]"
1000033,"[1, 8, 5]"
1000034,"[5, 1, 8]"
1000035,"[5, 8, 1]"
1000036,"[1, 5, 8]"
1000037,"[5, 1, 8]"
1000039,"[1, 5, 8]"
1000041,"[1, 16, 8]"
1000042,"[1, 5, 2]"
1000043,"[5, 1, 3]"
1000044,"[1, 2, 5]"
1000045,"[5, 8, 1]"
1000046,"[11, 1, 5]"
1000047,"[8, 1, 6]"
1000048,"[1, 5, 8]"
1000049,"[1, 3, 8]"
1000050,"[1, 8, 5]"
1000051,"[5, 8, 3]"
1000052,"[1, 5, 8]"
1000053,"[1, 8, 5]"
1000054,"[5, 1, 15]"
1000055,"[8, 3, 1]"
1000056,"[6, 8, 1]"
1000057,"[1, 5, 8]"
1000058,"[1, 8, 5]"
1000059,"[8, 5, 1]"
1000060,"[1, 5, 2]"
1000061,"[1, 5, 8]"
1000062,"[8, 1, 5]"
1000063,"[1, 5, 8]"
1000064,"[1, 16, 11]"
1000065,"[1, 8, 5]"
1000066,"[1, 5, 8]"
1000067,"[8, 6, 5]"
1000068,"[5, 8, 3]"
1000069,"[8, 5, 1]"
1000070,"[1, 5, 8]"
1000071,"[1, 5, 8]"
1000072,"[5, 1, 16]"
1000073,"[1, 5, 3]"
1000074,"[6, 8, 10]"
1000075,"[3, 2, 1]"
1000076,"[1, 8, 5]"
1000077,"[8, 5, 16]"
1000078,"[5, 3, 2]"
1000079,"[8, 5, 6]"
1000080,"[1, 8, 3]"
1000081,"[1, 6, 5]"
1000082,"[1, 8, 5]"
1000083,"[1, 5, 2]"
1000084,"[1, 5, 6]"
1000085,"[1, 8, 5]"
1000086,"[1, 2, 10]"
1000087,"[1, 8, 7]"
1000088,"[8, 5, 1]"
1000089,"[1, 8, 5]"
1000090,"[1, 5, 8]"
1000091,"[5, 1, 8]"
1000092,"[1, 3, 2]"
1000093,"[1, 3, 2]"
1000094,"[1, 11, 5]"
1000095,"[1, 8, 5]"
1000096,"[1, 8, 6]"
1000097,"[8, 5, 10]"
1000098,"[1, 8, 5]"
1000099,"[5, 1, 8]"
1000100,"[1, 8, 6]"
1000101,"[1, 5, 2]"
1000102,"[8, 1, 5]"
1000103,"[1, 3, 8]"
1000104,"[5, 8, 1]"
1000105,"[1, 8, 5]"
1000106,"[5, 1, 8]"
1000107,"[8, 1, 5]"
1000108,"[1, 5, 16]"
1000109,"[1, 5, 2]"
